year_month,negative,neutral,positive
2022-01,58,44,102
2022-02,45,37,105
2022-03,56,23,113
2022-04,61,28,102
2022-05,51,34,100
2022-06,55,43,104
2022-07,55,33,91
2022-08,59,30,106
2022-09,53,33,104
2022-10,56,30,95
2022-11,57,40,108
2022-12,51,33,115
2023-01,63,37,108
2023-02,50,44,85
2023-03,49,29,95
2023-04,49,31,105
2023-05,47,35,100
2023-06,55,34,103
2023-07,56,34,106
2023-08,59,44,108
2023-09,70,34,105
2023-10,55,35,106
2023-11,38,35,128
2023-12,58,39,112
2024-01,65,43,97
2024-02,62,42,113
2024-03,63,21,80
2024-04,60,31,119
2024-05,44,31,91
2024-06,58,28,124
2024-07,51,25,122
2024-08,62,33,125
2024-09,56,35,108
2024-10,58,35,127
2024-11,42,36,101
2024-12,48,31,113
